id,pid,ms_subclass,ms_zoning,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,exter_qual,exter_cond,foundation,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice
1044,527451290,160,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,TA,Y,SBrkr,483,504,0,987,1,1,2,1,TA,4,Typ,0,Y,0,0,0,0,0,0,0,7,2008,COD,85400
2752,906380150,20,RL,7488,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1208,0,0,1208,2,0,2,1,Gd,6,Typ,0,Y,105,58,0,0,0,0,0,2,2006,WD ,183600
807,906226060,70,RL,26400,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1288,728,0,2016,1,0,4,1,TA,7,Mod,1,P,0,0,0,0,0,0,0,6,2009,WD ,131000
1177,533236070,160,FV,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,962,645,0,1607,2,1,3,1,Gd,7,Typ,0,Y,169,0,0,0,0,0,0,12,2008,ConLD,200000
1480,907418040,20,RL,9627,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1361,0,0,1361,2,0,3,1,Gd,6,Typ,0,Y,0,50,0,0,0,0,0,6,2008,WD ,193000
324,923202105,20,RL,10114,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Ex,Y,SBrkr,1430,0,0,1430,2,0,3,1,Gd,7,Typ,0,Y,0,0,0,0,0,0,0,3,2010,WD ,173500
1311,902301140,70,RM,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,TA,TA,BrkTil,GasA,Fa,N,SBrkr,624,720,0,1344,1,0,4,1,TA,7,Typ,0,Y,0,0,96,0,0,0,0,5,2008,COD,98000
770,905101490,20,RL,8816,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,TA,Y,SBrkr,1121,0,0,1121,1,0,3,1,TA,5,Typ,0,Y,0,80,0,0,0,0,0,6,2009,WD ,139000
2063,905107140,20,RL,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1285,0,0,1285,1,1,3,1,TA,7,Typ,1,Y,138,0,0,0,0,0,0,4,2007,WD ,143500
69,528458070,60,FV,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Ex,Y,SBrkr,764,783,0,1547,2,1,3,1,Gd,7,Typ,0,Y,169,45,0,0,0,0,0,6,2010,Con,215200
2062,905106150,20,RL,8724,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,GasA,Gd,Y,SBrkr,894,0,0,894,1,0,3,1,TA,5,Typ,1,Y,0,0,0,0,0,0,0,5,2007,WD ,129000
351,527131030,120,RL,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1659,0,0,1659,2,0,2,1,Ex,5,Typ,1,Y,212,59,0,0,0,0,0,10,2009,WD ,278000
2393,528142010,60,RL,12867,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1209,1044,0,2253,2,1,3,1,Ex,8,Typ,1,Y,243,142,0,0,0,0,0,7,2006,New,344133
12,527165230,20,RL,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,TA,Gd,PConc,GasA,Ex,Y,SBrkr,1187,0,0,1187,2,0,3,1,TA,6,Typ,0,Y,483,21,0,0,0,0,500,3,2010,WD ,185000
2339,527250040,190,RL,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,TA,N,SBrkr,1056,0,0,1056,1,0,3,1,TA,5,Typ,0,Y,264,0,0,0,0,0,0,1,2006,WD ,145000
624,535104120,20,RL,10573,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1453,0,0,1453,2,0,3,1,TA,6,Typ,1,Y,0,49,0,0,288,0,0,4,2009,WD ,187500
86,532376160,20,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,GasA,Ex,Y,SBrkr,894,0,0,894,1,0,3,1,TA,5,Typ,1,Y,416,144,0,0,0,0,0,4,2010,WD ,138500
1534,909277040,50,RL,11700,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1265,673,0,1938,2,0,4,1,Gd,7,Min2,1,Y,0,40,0,0,0,0,0,7,2008,WD ,198000
2243,911103060,190,C (all),8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,GasA,Fa,N,SBrkr,1034,957,0,1991,2,0,4,2,TA,9,Typ,0,N,0,0,133,0,0,0,0,6,2007,WD ,119600
1957,535450190,50,RL,8064,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,GasA,Ex,Y,SBrkr,672,252,0,924,1,0,3,1,TA,6,Typ,1,Y,0,0,0,0,0,0,2000,7,2007,WD ,122900
380,527355150,20,RL,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,Gd,TA,PConc,GasA,TA,Y,SBrkr,2524,0,0,2524,2,1,4,1,Gd,9,Typ,1,Y,474,120,0,0,0,0,0,7,2009,WD ,278000
2860,909276010,70,RL,11435,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,TA,TA,PConc,GasA,Fa,Y,SBrkr,792,725,0,1517,1,0,3,1,Gd,7,Typ,2,Y,0,0,0,0,0,0,0,6,2006,WD ,230000
2517,533250130,120,RL,9549,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,Gd,Gd,PConc,GasA,Ex,Y,SBrkr,1494,0,0,1494,1,1,2,1,Ex,6,Typ,1,Y,0,30,0,0,216,0,0,4,2006,WD ,270000
1933,535302070,20,RL,10950,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,TA,Y,SBrkr,948,0,0,948,1,0,2,1,TA,5,Typ,0,N,0,48,0,0,0,0,0,4,2007,WD ,125000
820,906340110,20,RL,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1718,0,0,1718,2,0,3,1,Gd,7,Typ,1,Y,208,44,0,0,0,0,0,9,2009,WD ,297000
675,535426150,20,RL,9000,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,Fa,Y,SBrkr,1142,0,0,1142,1,0,2,1,TA,5,Typ,1,Y,0,28,64,0,0,0,0,4,2009,WD ,113500
2910,923225240,160,RM,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,GasA,Ex,Y,SBrkr,925,550,0,1475,2,0,4,1,TA,6,Typ,1,Y,104,26,0,0,0,0,0,7,2006,WD ,127000
21,527358140,20,RL,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1844,0,0,1844,2,0,3,1,TA,7,Typ,1,Y,0,122,0,0,0,0,0,1,2010,COD,190000
1873,534177210,20,RL,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,Fa,Y,SBrkr,1242,0,0,1242,1,1,3,1,TA,6,Typ,1,Y,0,0,0,0,0,0,0,9,2007,WD ,175500
2125,907135050,20,RL,8428,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,TA,Gd,PConc,GasA,Ex,Y,SBrkr,990,0,0,990,1,0,3,1,TA,5,Typ,0,Y,256,0,0,0,0,0,0,7,2007,WD ,146000
1489,908102260,20,RL,9937,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,Gd,TA,CBlock,GasA,Gd,Y,SBrkr,1256,0,0,1256,1,1,3,1,TA,6,Typ,0,Y,736,68,0,0,0,0,0,6,2008,WD ,147500
2383,528110050,20,RL,13891,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Ex,TA,PConc,GasA,Ex,Y,SBrkr,2076,0,0,2076,2,1,2,1,Ex,7,Typ,1,Y,216,229,0,0,0,0,0,9,2006,New,465000
983,923275040,85,RL,9101,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,TA,Gd,PConc,GasA,Ex,Y,SBrkr,1110,0,0,1110,1,0,1,1,Gd,4,Typ,1,Y,303,30,0,0,0,0,0,7,2009,WD ,165500
1325,902406090,50,RM,12150,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,Ex,N,FuseF,1050,745,0,1795,2,0,4,1,TA,7,Typ,0,Y,0,0,0,0,0,0,0,11,2008,WD ,131500
1378,905102170,20,RL,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,3,1,TA,5,Typ,0,Y,0,0,0,0,0,0,0,2,2008,WD ,129500
1537,909281110,70,RL,9670,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,TA,TA,PConc,GasA,TA,Y,SBrkr,983,890,0,1873,1,1,4,1,TA,9,Typ,2,Y,0,0,207,0,0,0,0,6,2008,WD ,257076
905,909101140,50,RL,10998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,Ex,Y,SBrkr,984,620,0,1604,2,0,3,1,TA,6,Min2,0,Y,0,68,0,0,0,0,0,7,2009,WD ,117000
1532,909275050,70,RL,7200,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,TA,Fa,BrkTil,GasA,TA,Y,SBrkr,851,651,0,1502,1,1,3,1,TA,6,Typ,1,P,0,0,112,0,0,0,0,2,2008,WD ,149000
132,534475100,20,RL,9920,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,TA,Y,SBrkr,1063,0,0,1063,1,0,3,1,TA,6,Typ,0,Y,0,0,164,0,0,0,0,2,2010,WD ,128000
1078,528188090,160,RL,2448,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Gd,TA,PConc,GasA,Ex,Y,SBrkr,764,862,0,1626,2,1,2,1,Gd,6,Typ,0,Y,0,27,0,0,0,0,0,10,2008,WD ,155000
2511,533221080,160,FV,2998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,768,756,0,1524,2,1,2,1,Gd,4,Typ,0,Y,0,32,0,0,0,0,0,6,2006,WD ,166000
912,909250220,50,RL,7804,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,TA,TA,BrkTil,GasA,TA,Y,SBrkr,1328,653,0,1981,2,0,4,1,Gd,7,Min2,2,Y,431,44,0,0,0,0,0,12,2009,WD ,135000
2351,527356020,60,RL,16692,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,TA,Y,SBrkr,1392,1392,0,2784,3,1,5,1,Gd,12,Typ,2,Y,0,112,0,0,440,519,2000,7,2006,WD ,250000
330,923226250,160,RM,1476,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,TA,TA,CBlock,GasA,Ex,Y,SBrkr,546,546,0,1092,1,1,3,1,TA,5,Typ,0,Y,200,26,0,0,0,0,0,3,2010,WD ,76000
2586,535305120,20,RL,10170,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,TA,Y,SBrkr,1575,0,0,1575,1,1,2,1,Gd,5,Typ,1,Y,0,0,0,0,0,0,0,6,2006,WD ,155000
224,905106140,60,RL,9364,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,TA,Y,SBrkr,663,689,0,1352,1,1,4,1,TA,7,Typ,0,Y,379,36,0,0,0,0,0,3,2010,WD ,158000
98,533212020,160,FV,2544,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,600,600,0,1200,2,1,2,1,Gd,4,Typ,0,Y,0,172,0,0,0,0,0,2,2010,WD ,149500
2565,534479300,20,RL,9888,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1975,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,GasA,TA,Y,FuseA,936,0,0,936,1,0,2,1,TA,5,Typ,0,Y,0,0,160,0,0,0,0,3,2006,WD ,121000
1934,535304170,20,RL,7942,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,TA,Y,FuseF,1040,0,0,1040,1,0,3,1,TA,6,Typ,0,Y,0,0,0,0,0,0,0,6,2007,WD ,136000
997,527107010,60,RL,15038,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1996,1996,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,GasA,Gd,Y,SBrkr,916,720,0,1636,2,1,3,1,TA,7,Typ,1,Y,168,84,0,0,0,0,0,11,2008,WD ,173000
64,528382020,60,RL,11764,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1164,1106,0,2270,2,1,4,1,Gd,9,Typ,1,Y,132,57,0,0,0,0,0,4,2010,WD ,290000
1799,528458130,60,FV,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1184,1426,0,2610,2,1,4,1,Ex,11,Typ,1,Y,208,364,0,0,0,0,0,8,2007,New,303477
230,905109170,20,RL,20062,Pave,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,7,1977,2001,Hip,CompShg,Wd Sdng,Wd Sdng,Gd,Gd,CBlock,GasA,Gd,Y,SBrkr,1483,0,0,1483,1,1,1,1,TA,4,Typ,2,Y,496,0,0,0,0,0,0,4,2010,WD ,270000
1295,902109160,50,RM,7308,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,5,1920,1950,Gable,CompShg,WdShing,Wd Shng,Fa,Fa,BrkTil,GasA,Gd,N,FuseA,960,780,0,1740,1,0,2,1,Ex,6,Typ,1,N,0,0,236,0,0,0,0,6,2008,WD ,122250
638,535178120,20,RL,8750,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1955,1955,Gable,CompShg,AsbShng,AsbShng,TA,TA,CBlock,GasA,Gd,Y,FuseA,1382,0,0,1382,1,0,3,1,Gd,6,Typ,0,Y,280,0,0,0,0,0,0,7,2009,WD ,153000
2278,923202134,20,RL,8402,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Feedr,Norm,1Fam,1Story,5,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Ex,Y,SBrkr,1120,0,0,1120,1,0,3,1,TA,6,Typ,0,Y,0,30,0,0,0,0,0,12,2007,New,147000
2202,909252150,70,RL,4000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,8,1930,1995,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,TA,Y,SBrkr,567,531,0,1098,1,0,2,1,TA,5,Typ,1,Y,0,0,0,0,0,0,0,6,2007,WD ,148500
2833,908188150,160,RM,3363,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,976,732,0,1708,2,0,3,1,Gd,7,Maj1,0,Y,0,40,0,0,0,0,0,4,2006,WD ,130000
1707,528150040,20,RL,13615,Pave,IR1,HLS,AllPub,Corner,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,2006,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,GasA,Ex,Y,SBrkr,1802,0,0,1802,2,1,3,1,Ex,7,Typ,1,Y,158,105,0,0,0,0,0,6,2007,WD ,372000
2428,528228565,120,RL,3013,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1506,0,0,1506,2,0,2,1,Gd,6,Typ,1,Y,142,20,0,0,0,0,0,4,2006,WD ,213490
242,905453080,20,RL,17485,Pave,IR2,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1508,0,0,1508,1,0,1,1,Gd,5,Typ,2,Y,0,0,0,0,0,0,0,1,2010,Con,308030
1564,914453045,20,RL,23730,Pave,IR2,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,1996,1997,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,GasA,Ex,Y,SBrkr,2032,0,0,2032,3,0,3,1,Gd,7,Typ,0,Y,0,46,192,0,0,0,0,9,2008,WD ,300000
2613,535403150,20,RL,8910,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1194,0,0,1194,1,0,3,1,TA,6,Typ,1,Y,0,0,192,0,0,0,0,7,2006,WD ,159500
